fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B01_S13_L001_R1_001.fastq.gz	HD01_02_B01_S13_L001_R1_001	HD01	1	HD01_02_B01	02	B01	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B01_S13_L001_R2_001.fastq.gz	HD01_02_B01_S13_L001_R2_001	HD01	1	HD01_02_B01	02	B01	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B01_S13_L002_R1_001.fastq.gz	HD01_02_B01_S13_L002_R1_001	HD01	1	HD01_02_B01	02	B01	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B01_S13_L002_R2_001.fastq.gz	HD01_02_B01_S13_L002_R2_001	HD01	1	HD01_02_B01	02	B01	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B02_S110_L001_R1_001.fastq.gz	HD01_02_B02_S110_L001_R1_001	HD01	1	HD01_02_B02	02	B02	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B02_S110_L001_R2_001.fastq.gz	HD01_02_B02_S110_L001_R2_001	HD01	1	HD01_02_B02	02	B02	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B02_S110_L002_R1_001.fastq.gz	HD01_02_B02_S110_L002_R1_001	HD01	1	HD01_02_B02	02	B02	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B02_S110_L002_R2_001.fastq.gz	HD01_02_B02_S110_L002_R2_001	HD01	1	HD01_02_B02	02	B02	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B03_S15_L001_R1_001.fastq.gz	HD01_02_B03_S15_L001_R1_001	HD01	1	HD01_02_B03	02	B03	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B03_S15_L001_R2_001.fastq.gz	HD01_02_B03_S15_L001_R2_001	HD01	1	HD01_02_B03	02	B03	L001	R2	FALSE
